id,neutrino,E,A,nBorF,Z,aBorF,E1,A1,nBorF1,Z1,aBorF1,E2,A2,nBorF2,Z2,aBorF2,MeV
95,right,Ru,98,b,44,b,S,33,f,16,f,Cu,65,f,29,b,5.824631
96,none,Ru,98,b,44,b,S,34,b,16,b,Ni,64,b,28,b,9.013100
97,right,Ru,98,b,44,b,Cl,37,f,17,b,Ni,61,f,28,f,7.968930
98,right,Ru,98,b,44,b,Ar,38,b,18,b,Co,60,b,27,f,8.354569
99,none,Ru,98,b,44,b,Ar,40,b,18,b,Fe,58,b,26,b,9.169600
100,right,Ru,98,b,44,b,K,40,b,19,f,Fe,58,b,26,b,7.656880
101,right,Ru,98,b,44,b,K,41,f,19,b,Fe,57,f,26,f,7.704386
102,right,Ru,98,b,44,b,Ca,43,f,20,f,Mn,55,f,25,b,8.072326
103,none,Ru,98,b,44,b,Ca,44,b,20,b,Cr,54,b,24,b,10.368500
104,none,Ru,98,b,44,b,Ca,46,b,20,b,Cr,52,b,24,b,10.523100
105,left,Ru,98,b,44,b,Ca,48,b,20,b,V,50,b,23,f,5.562885
106,none,Ru,98,b,44,b,Ca,48,b,20,b,Cr,50,b,24,b,6.600600
107,right,Ru,98,b,44,b,Sc,45,f,21,b,Cr,53,f,24,f,8.318240
108,right,Ru,98,b,44,b,Ti,47,f,22,f,V,51,f,23,b,9.095106
109,none,Ru,98,b,44,b,Ti,48,b,22,b,Ti,50,b,22,b,11.887700
110,right,Ru,98,b,44,b,Ti,48,b,22,b,V,50,b,23,f,9.675427
111,none,Ru,98,b,44,b,Ti,49,f,22,f,Ti,49,f,22,f,9.097000
112,none,Ru,99,f,44,f,Mg,26,b,12,b,Ge,73,f,32,f,0.120200
113,right,Ru,99,f,44,f,Al,27,f,13,b,Ge,72,b,32,b,2.294268
114,right,Ru,99,f,44,f,Si,28,b,14,b,Ga,71,f,31,b,4.017532
115,none,Ru,99,f,44,f,Si,29,f,14,f,Zn,70,b,30,b,3.950500
116,right,Ru,99,f,44,f,Si,30,b,14,b,Ga,69,f,31,b,6.182324
117,right,Ru,99,f,44,f,P,31,f,15,b,Zn,68,b,30,b,6.941492
118,right,Ru,99,f,44,f,S,34,b,16,b,Cu,65,f,29,b,9.714550
119,right,Ru,99,f,44,f,Cl,35,f,17,b,Ni,64,b,28,b,8.631222
120,right,Ru,99,f,44,f,Cl,37,f,17,b,Ni,62,b,28,b,11.027957
121,right,Ru,99,f,44,f,Ar,40,b,18,b,Co,59,f,27,b,9.786275
122,right,Ru,99,f,44,f,K,41,f,19,b,Fe,58,b,26,b,10.221283
123,right,Ru,99,f,44,f,Ca,44,b,20,b,Mn,55,f,25,b,11.677208
124,none,Ru,99,f,44,f,Ca,46,b,20,b,Cr,53,f,24,f,10.935700
125,left,Ru,99,f,44,f,Ca,48,b,20,b,V,51,f,23,b,9.071823
126,right,Ru,99,f,44,f,Sc,45,f,21,b,Cr,54,b,24,b,10.509114
127,right,Ru,99,f,44,f,Ti,48,b,22,b,V,51,f,23,b,13.184365
128,none,Ru,99,f,44,f,Ti,49,f,22,f,Ti,50,b,22,b,12.503400
129,right,Ru,99,f,44,f,Ti,49,f,22,f,V,50,b,23,f,10.291145
130,right,Ru,100,b,44,b,Si,29,f,14,f,Ga,71,f,31,b,1.573292
131,none,Ru,100,b,44,b,Si,30,b,14,b,Zn,70,b,30,b,3.643100
132,right,Ru,100,b,44,b,Ar,40,b,18,b,Co,60,b,27,f,6.362103
133,none,Ru,100,b,44,b,Ca,46,b,20,b,Cr,54,b,24,b,9.736000
134,none,Ru,100,b,44,b,Ca,48,b,20,b,Cr,52,b,24,b,9.448100
135,right,Ru,100,b,44,b,Ti,49,f,22,f,V,51,f,23,b,10.409445
136,none,Ru,100,b,44,b,Ti,50,b,22,b,Ti,50,b,22,b,12.519300
137,right,Ru,100,b,44,b,Ti,50,b,22,b,V,50,b,23,f,10.306980
138,right,Ru,101,f,44,f,Al,27,f,13,b,Ge,74,b,32,b,1.336692
139,right,Ru,101,f,44,f,Si,30,b,14,b,Ga,71,f,31,b,5.140914
140,right,Ru,101,f,44,f,P,31,f,15,b,Zn,70,b,30,b,4.665852
141,right,Ru,101,f,44,f,Cl,37,f,17,b,Ni,64,b,28,b,9.561785
142,right,Ru,101,f,44,f,Ca,46,b,20,b,Mn,55,f,25,b,11.529100
143,none,Ru,101,f,44,f,Ca,48,b,20,b,Cr,53,f,24,f,10.345200
144,right,Ru,101,f,44,f,Ti,50,b,22,b,V,51,f,23,b,14.300295
145,none,Ru,102,b,44,b,Ca,48,b,20,b,Cr,54,b,24,b,11.623200
146,none,Rh,103,f,45,b,O,16,b,8,b,Rb,87,f,37,b,0.656700
147,right,Rh,103,f,45,b,O,16,b,8,b,Sr,87,f,38,f,0.926835
148,right,Rh,103,f,45,b,Mg,25,f,12,f,Se,78,b,34,b,1.501566
