id,A,Z,nBorF,aBorF,E,AMU,BE,BEN,SUS,LHL,RDM,DEMeV,pcaNCrust,ppmNCrust,ppmNSolar,SP,MD,EQ,RCPT,Inova_MHz,MagGR
28,26,12,b,b,Mg,25.98259297100,216.67480895996,8.33364649846,SPN,50.0000,null,0.0000,11.1700,2602.61,79,null,null,null,null,null,null
29,27,13,f,b,Al,26.98153840800,224.94588197047,8.33132896187,SPN,50.0000,null,0.0000,100.0000,82300,58,5/2+,3.6407000000,0.1466000000,1170.0000,104.227,6.97627800
30,28,14,b,b,Si,27.97692653499,236.53056909801,8.44752032493,SPN,50.0000,null,0.0000,92.2100,260032.2,653,null,null,null,null,null,null
31,29,14,f,f,Si,28.97649466525,245.00394027528,8.44841173363,SPN,50.0000,null,0.0000,4.7000,13254,34,1/2+,-0.5550520000,null,2.0900,79.468,-5.31903000
32,30,14,b,b,Si,29.97377013600,255.61291079491,8.52043035983,SPN,50.0000,null,0.0000,3.0900,8713.8,23,null,null,null,null,null,null
33,31,15,f,b,P,30.97376199863,262.90924426058,8.48094336324,SPN,50.0000,null,0.0000,100.0000,1050,null,1/2+,1.1309250000,null,377.0000,161.923,10.83940000
34,32,16,b,b,S,31.97207117443,271.77299097355,8.49290596792,SPN,50.0000,null,0.0000,95.0000,332.5,396,null,null,null,null,null,null
35,33,16,f,f,S,32.97145890985,280.41439892209,8.49740602794,SPN,50.0000,null,0.0000,0.7600,2.66,null,3/2+,0.6432500000,-0.0678000000,null,null,2.05568500
36,34,16,b,b,S,33.96786701200,291.83131837772,8.58327406993,SPN,50.0000,null,0.0000,4.2200,14.77,null,null,null,null,null,null,null
37,35,17,f,b,Cl,34.96885269400,298.20191473166,8.52005470662,SPN,50.0000,null,0.0000,75.5300,109.5185,null,3/2+,0.8217000000,-0.8170000000,null,null,2.62419910
38,37,17,f,b,Cl,36.96590258400,317.09209940329,8.57005674063,SPN,50.0000,null,0.0000,24.4700,35.4815,null,3/2+,0.6840000000,-0.0644000000,null,null,2.18436880
39,36,18,b,b,Ar,35.96754510500,306.70868002741,8.51968555632,SPN,50.0000,null,0.0000,0.3370,null,77,null,null,null,null,null,null
40,38,18,b,b,Ar,37.96273210400,327.33413710958,8.61405623973,SPN,50.0000,null,0.0000,0.0630,null,null,null,null,null,null,null,null
41,40,18,b,b,Ar,39.96238312378,343.80138413029,8.59503460326,SPN,50.0000,null,0.0000,99.6000,null,null,null,null,null,null,null,null
42,39,19,f,b,K,38.96370648661,333.71525878127,8.55680150721,SPN,50.0000,null,0.0000,93.1000,19457.9,null,3/2+,0.3914700000,0.0585000000,null,null,1.25006120
43,40,19,b,f,K,39.96399816600,341.51464804390,8.53786620110,UPN,9.0969,B- or K or B+,1.5050,0.0118,2.4662,null,4-,-1.2979700000,-0.0730000000,null,null,-1.55428600
44,41,19,f,b,K,40.96182525796,351.60978653214,8.57584845200,SPN,50.0000,null,0.0000,6.8800,1437.92,null,3/2+,0.2148720000,0.0711000000,null,null,0.68614062
45,40,20,b,b,Ca,39.96259086500,342.04320754101,8.55108018853,SPN,50.0000,null,0.0000,96.9700,40242.55,60,null,null,null,null,null,null
46,42,20,b,b,Ca,41.95861782800,361.88624291679,8.61633911707,SPN,50.0000,null,0.0000,0.6400,265.6,null,null,null,null,null,null,null
47,43,20,f,f,Ca,42.95876643000,369.81890795747,8.60043971994,SPN,50.0000,null,0.0000,0.1450,60.175,null,7/2-,-1.3173300000,-0.0408000000,null,null,-1.80306900
48,44,20,b,b,Ca,43.95548154300,380.94984854598,8.65795110332,SPN,50.0000,null,0.0000,2.0600,854.9,null,null,null,null,null,null,null
49,46,20,b,b,Ca,45.95368798800,398.76270878866,8.66875453888,SPN,50.0000,null,0.0000,0.0033,1.3695,null,null,null,null,null,null,null
