id,E,A,nBorF,Z,aBorF,E1,A1,nBorF1,Z1,aBorF1,E2,A2,nBorF2,Z2,aBorF2,MeV
188,Cd,106,b,48,b,Cr,53,f,24,f,Cr,53,f,24,f,22.9595
189,Cd,106,b,48,b,Cr,52,b,24,b,Cr,54,b,24,b,24.7377
190,Cd,108,b,48,b,Cr,54,b,24,b,Cr,54,b,24,b,24.4443
191,In,113,f,49,b,Na,23,f,11,b,Sr,90,b,38,b,6.6853
192,In,113,f,49,b,Mg,26,b,12,b,Rb,87,f,37,b,11.6521
193,In,113,f,49,b,Al,27,f,13,b,Kr,86,b,36,b,11.2972
194,In,113,f,49,b,Cl,37,f,17,b,Ge,76,b,32,b,15.8578
195,In,113,f,49,b,Ca,48,b,20,b,Cu,65,f,29,b,22.4779
196,Sn,114,b,50,b,He,4,b,2,b,Cd,110,b,48,b,0.3605
197,Sn,112,b,50,b,C,12,b,6,b,Ru,100,b,44,b,1.7885
198,Sn,114,b,50,b,C,12,b,6,b,Ru,102,b,44,b,2.0865
199,Sn,112,b,50,b,O,18,b,8,b,Mo,94,b,42,b,0.9688
200,Sn,112,b,50,b,O,17,f,8,f,Mo,95,f,42,f,0.0801
201,Sn,112,b,50,b,O,16,b,8,b,Mo,96,b,42,b,5.0999
202,Sn,114,b,50,b,O,18,b,8,b,Mo,96,b,42,b,2.0959
203,Sn,114,b,50,b,O,17,f,8,f,Mo,97,f,42,f,1.0023
204,Sn,114,b,50,b,O,16,b,8,b,Mo,98,b,42,b,5.1558
205,Sn,112,b,50,b,F,19,f,9,b,Nb,93,f,41,b,0.4797
206,Sn,112,b,50,b,Ne,22,b,10,b,Zr,90,b,40,b,8.6023
207,Sn,112,b,50,b,Ne,21,f,10,f,Zr,91,f,40,f,5.4409
208,Sn,112,b,50,b,Ne,20,b,10,b,Zr,92,b,40,b,7.3663
209,Sn,114,b,50,b,Ne,22,b,10,b,Zr,92,b,40,b,9.3010
210,Sn,114,b,50,b,Ne,20,b,10,b,Zr,94,b,40,b,6.8726
211,Sn,115,f,50,f,Ne,21,f,10,f,Zr,94,b,40,b,3.2984
212,Sn,116,b,50,b,Ne,22,b,10,b,Zr,94,b,40,b,4.2709
213,Sn,116,b,50,b,Ne,20,b,10,b,Zr,96,b,40,b,1.3674
214,Sn,117,f,50,f,Ne,21,f,10,f,Zr,96,b,40,b,0.9417
215,Sn,118,b,50,b,Ne,22,b,10,b,Zr,96,b,40,b,2.0539
216,Sn,112,b,50,b,Na,23,f,11,b,Y,89,f,39,b,9.0700
217,Sn,112,b,50,b,Mg,26,b,12,b,Sr,86,b,38,b,12.1923
218,Sn,112,b,50,b,Mg,25,f,12,f,Sr,87,f,38,f,9.5106
219,Sn,112,b,50,b,Mg,24,b,12,b,Sr,88,b,38,b,13.3064
220,Sn,114,b,50,b,Mg,26,b,12,b,Sr,88,b,38,b,16.5424
221,Sn,114,b,50,b,Mg,24,b,12,b,Sr,90,b,38,b,12.6543
222,Sn,115,f,50,f,Mg,25,f,12,f,Sr,90,b,38,b,9.6503
223,Sn,116,b,50,b,Mg,26,b,12,b,Sr,90,b,38,b,11.3540
224,Sn,112,b,50,b,Al,27,f,13,b,Rb,85,f,37,b,10.8938
225,Sn,114,b,50,b,Al,27,f,13,b,Rb,87,f,37,b,14.2006
226,Sn,112,b,50,b,Si,30,b,14,b,Kr,82,b,36,b,16.4837
227,Sn,112,b,50,b,Si,29,f,14,f,Kr,83,f,36,f,13.3371
228,Sn,112,b,50,b,Si,28,b,14,b,Kr,84,b,36,b,15.3780
229,Sn,114,b,50,b,Si,30,b,14,b,Kr,84,b,36,b,19.2773
230,Sn,114,b,50,b,Si,28,b,14,b,Kr,86,b,36,b,17.1544
231,Sn,115,f,50,f,Si,29,f,14,f,Kr,86,b,36,b,15.2970
232,Sn,116,b,50,b,Si,30,b,14,b,Kr,86,b,36,b,16.5173
233,Sn,112,b,50,b,P,31,f,15,b,Br,81,f,35,b,13.8169
234,Sn,112,b,50,b,S,34,b,16,b,Se,78,b,34,b,18.3756
235,Sn,112,b,50,b,S,32,b,16,b,Se,80,b,34,b,15.2337
236,Sn,114,b,50,b,S,34,b,16,b,Se,80,b,34,b,20.1044
237,Sn,112,b,50,b,Cl,37,f,17,b,As,75,f,33,b,16.2676
238,Sn,112,b,50,b,Ar,40,b,18,b,Ge,72,b,32,b,19.0714
239,Sn,112,b,50,b,Ar,38,b,18,b,Ge,74,b,32,b,19.6219
240,Sn,114,b,50,b,Ar,40,b,18,b,Ge,74,b,32,b,20.8897
241,Sn,112,b,50,b,Ar,36,b,18,b,Ge,76,b,32,b,14.9337
242,Sn,114,b,50,b,Ar,38,b,18,b,Ge,76,b,32,b,20.3764
243,Sn,116,b,50,b,Ar,40,b,18,b,Ge,76,b,32,b,17.1078
244,Sn,112,b,50,b,K,41,f,19,b,Ga,71,f,31,b,17.0137
